raw_received_timestamp_ms,feature_extraction_timestamp_ms,model_prediction_timestamp_ms,pair_seq,predicted_activity,risk_status,alert_triggered,risky_counter,sensor1_neutral_ax,sensor1_neutral_ay,sensor1_neutral_az,sensor2_neutral_ax,sensor2_neutral_ay,sensor2_neutral_az
115738,115738,115739,3702,elbow_flexion,Risky,No,2,,,,,,
116143,116143,116144,3714,elbow_flexion,Risky,Yes,3,,,,,,
116672,116672,116672,3726,elbow_flexion,Risky,Yes,4,,,,,,
117065,117065,117066,3738,elbow_flexion,Risky,Yes,5,,,,,,
117335,117335,117336,3750,sitting,Safe,No,0,,,,,,
117696,117696,117696,3762,sitting,Safe,No,0,,,,,,
118078,118078,118078,3774,elbow_flexion,Risky,No,1,,,,,,
118505,118505,118506,3786,elbow_flexion,Risky,No,2,,,,,,
118730,118730,118731,3798,elbow_flexion,Risky,Yes,3,,,,,,
119000,119000,119001,3810,elbow_flexion,Risky,Yes,4,,,,,,
119518,119518,119518,3822,elbow_flexion,Risky,Yes,5,,,,,,
119833,119833,119834,3834,elbow_flexion,Risky,Yes,6,,,,,,
120328,120328,120328,3846,elbow_flexion,Risky,Yes,7,,,,,,
120596,120596,120597,3858,elbow_flexion,Risky,Yes,8,,,,,,
120876,120876,120877,3870,elbow_flexion,Risky,Yes,9,,,,,,
121194,121194,121195,3882,elbow_flexion,Risky,Yes,10,,,,,,
121532,121532,121532,3894,elbow_flexion,Risky,Yes,11,,,,,,
122038,122038,122038,3906,sitting,Safe,No,0,,,,,,
122352,122353,122353,3918,sitting,Safe,No,0,,,,,,
122668,122668,122668,3930,sitting,Safe,No,0,,,,,,
123084,123084,123085,3942,sitting,Safe,No,0,,,,,,
123354,123354,123355,3954,sitting,Safe,No,0,,,,,,
123804,123804,123805,3966,elbow_flexion,Risky,No,1,,,,,,
124096,124097,124097,3978,elbow_flexion,Risky,No,2,,,,,,
124299,124299,124300,3990,elbow_flexion,Risky,Yes,3,,,,,,
124715,124715,124716,4002,elbow_flexion,Risky,Yes,4,,,,,,
124975,124975,124976,4014,elbow_flexion,Risky,Yes,5,,,,,,
125312,125312,125312,4026,sitting,Safe,No,0,,,,,,
125716,125717,125717,4038,sitting,Safe,No,0,,,,,,
126065,126065,126066,4050,sitting,Safe,No,0,,,,,,
126549,126549,126550,4062,sitting,Safe,No,0,,,,,,
126819,126819,126820,4074,sitting,Safe,No,0,,,,,,
127292,127292,127292,4086,sitting,Safe,No,0,,,,,,
127686,127686,127687,4098,sitting,Safe,No,0,,,,,,
127893,127893,127894,4110,sitting,Safe,No,0,,,,,,
128248,128248,128249,4122,sitting,Safe,No,0,,,,,,
128563,128563,128564,4134,sitting,Safe,No,0,,,,,,
129035,129035,129036,4146,sitting,Safe,No,0,,,,,,
129429,129429,129430,4158,sitting,Safe,No,0,,,,,,
129688,129688,129688,4170,sitting,Safe,No,0,,,,,,
130070,130070,130071,4182,sitting,Safe,No,0,,,,,,
130396,130397,130397,4194,sitting,Safe,No,0,,,,,,
130824,130824,130825,4206,sitting,Safe,No,0,,,,,,
131285,131285,131286,4218,sitting,Safe,No,0,,,,,,
131566,131567,131567,4230,sitting,Safe,No,0,,,,,,
132061,132061,132062,4242,elbow_flexion,Risky,No,1,,,,,,
132365,132365,132366,4254,elbow_flexion,Risky,No,2,,,,,,
132658,132658,132658,4266,elbow_flexion,Risky,Yes,3,,,,,,
132927,132928,132928,4278,elbow_flexion,Risky,Yes,4,,,,,,
133196,133196,133197,4290,elbow_flexion,Risky,Yes,5,,,,,,
133477,133477,133478,4302,elbow_flexion,Risky,Yes,6,,,,,,
133738,133739,133739,4314,elbow_flexion,Risky,Yes,7,,,,,,
134017,134017,134018,4326,walking,Safe,No,0,,,,,,
134018,134019,134019,4338,sitting,Safe,No,0,,,,,,
134041,134042,134042,4350,sitting,Safe,No,0,,,,,,
134311,134311,134312,4362,sitting,Safe,No,0,,,,,,
134491,134492,134492,4374,walking,Safe,No,0,,,,,,
134750,134750,134751,4386,walking,Safe,No,0,,,,,,
134941,134941,134942,4398,walking,Safe,No,0,,,,,,
135110,135110,135111,4410,elbow_flexion,Risky,No,1,,,,,,
135391,135391,135392,4422,elbow_flexion,Risky,No,2,,,,,,
135582,135583,135583,4434,elbow_flexion,Risky,Yes,3,,,,,,
135865,135865,135866,4446,elbow_flexion,Risky,Yes,4,,,,,,
136143,136144,136145,4458,elbow_flexion,Risky,Yes,5,,,,,,
136424,136424,136425,4470,elbow_flexion,Risky,Yes,6,,,,,,
136703,136703,136704,4482,walking,Safe,No,0,,,,,,
136704,136705,136705,4494,walking,Safe,No,0,,,,,,
136989,136989,136990,4506,walking,Safe,No,0,,,,,,
137225,137225,137226,4518,walking,Safe,No,0,,,,,,
137461,137462,137462,4530,walking,Safe,No,0,,,,,,
137911,137911,137912,4542,pronation,Safe,No,0,,,,,,
138170,138170,138171,4554,pronation,Safe,No,0,,,,,,
138440,138440,138441,4566,elbow_flexion,Risky,No,1,,,,,,
138631,138632,138632,4578,elbow_flexion,Risky,No,2,,,,,,
138823,138823,138824,4590,elbow_flexion,Risky,Yes,3,,,,,,
139115,139115,139116,4602,elbow_flexion,Risky,Yes,4,,,,,,
139393,139394,139395,4614,elbow_flexion,Risky,Yes,5,,,,,,
139671,139672,139673,4626,elbow_flexion,Risky,Yes,6,,,,,,
139950,139950,139950,4638,elbow_flexion,Risky,Yes,7,,,,,,
140215,140215,140215,4650,pronation,Safe,No,0,,,,,,
140240,140240,140241,4662,walking,Safe,No,0,,,,,,
140454,140454,140454,4674,walking,Safe,No,0,,,,,,
140803,140803,140804,4686,walking,Safe,No,0,,,,,,
141072,141073,141073,4698,walking,Safe,No,0,,,,,,
141331,141331,141332,4710,walking,Safe,No,0,,,,,,
141860,141860,141861,4722,walking,Safe,No,0,,,,,,
142265,142265,142266,4734,pronation,Safe,No,0,,,,,,
142647,142647,142648,4746,elbow_flexion,Risky,No,1,,,,,,
142906,142906,142907,4758,elbow_flexion,Risky,No,2,,,,,,
143075,143075,143075,4770,elbow_flexion,Risky,Yes,3,,,,,,
143502,143502,143503,4782,elbow_flexion,Risky,Yes,4,,,,,,
143779,143779,143780,4794,elbow_flexion,Risky,Yes,5,,,,,,
144110,144110,144111,4806,elbow_flexion,Risky,Yes,6,,,,,,
144403,144403,144404,4818,elbow_flexion,Risky,Yes,7,,,,,,
144785,144785,144786,4830,elbow_flexion,Risky,Yes,8,,,,,,
145404,145404,145405,4842,walking,Safe,No,0,,,,,,
145933,145933,145933,4854,shoulder_adduction,Risky,No,1,,,,,,
146337,146338,146338,4866,shoulder_adduction,Risky,No,2,,,,,,
146619,146619,146620,4878,shoulder_adduction,Risky,Yes,3,,,,,,
147013,147013,147013,4890,shoulder_adduction,Risky,Yes,4,,,,,,
147586,147586,147587,4902,shoulder_adduction,Risky,Yes,5,,,,,,
148025,148025,148026,4914,elbow_flexion,Risky,Yes,6,,,,,,
148396,148396,148397,4926,elbow_flexion,Risky,Yes,7,,,,,,
148670,148670,148671,4938,shoulder_adduction,Risky,Yes,8,,,,,,
148959,148959,148960,4950,shoulder_adduction,Risky,Yes,9,,,,,,
149532,149533,149533,4962,shoulder_adduction,Risky,Yes,10,,,,,,
149881,149881,149882,4974,shoulder_adduction,Risky,Yes,11,,,,,,
150253,150253,150253,4986,shoulder_adduction,Risky,Yes,12,,,,,,
150612,150613,150613,4998,shoulder_adduction,Risky,Yes,13,,,,,,
150916,150916,150917,5010,walking,Safe,No,0,,,,,,
151276,151276,151277,5022,walking,Safe,No,0,,,,,,
151479,151479,151480,5034,elbow_flexion,Risky,No,1,,,,,,
151782,151782,151783,5046,elbow_flexion,Risky,No,2,,,,,,
152030,152030,152031,5058,elbow_flexion,Risky,Yes,3,,,,,,
152300,152300,152301,5070,elbow_flexion,Risky,Yes,4,,,,,,
152649,152649,152649,5082,elbow_flexion,Risky,Yes,5,,,,,,
152922,152922,152923,5094,shoulder_adduction,Risky,Yes,6,,,,,,
153202,153202,153203,5106,elbow_flexion,Risky,Yes,7,,,,,,
153470,153470,153471,5118,shoulder_adduction,Risky,Yes,8,,,,,,
153747,153748,153748,5130,standing,Safe,No,0,,,,,,
153897,153898,153898,5142,standing,Safe,No,0,,,,,,
154122,154122,154123,5154,standing,Safe,No,0,,,,,,
154449,154449,154449,5166,standing,Safe,No,0,,,,,,
154685,154685,154685,5178,standing,Safe,No,0,,,,,,
154842,154842,154843,5190,standing,Safe,No,0,,,,,,
155202,155202,155203,5202,standing,Safe,No,0,,,,,,
155394,155394,155394,5214,standing,Safe,No,0,,,,,,
155709,155709,155709,5226,standing,Safe,No,0,,,,,,
155900,155900,155901,5238,elbow_flexion,Risky,No,1,,,,,,
